module,stream,lengths,dims,options,impls,dtypes,computes,modes,source,eval_augmentation,train_augmentation
adaptive_layernorm,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_hidden=128;d_cond=128,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld atom_dit d_single=d_cond=d_single_atom=128,5,48
adaptive_layernorm,token_single,128|256|384|512|640|768,d_hidden=768;d_cond=384,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
attention_pair_bias,token_single,128|256|384|512|640|768,d_single=384;d_pair=128;n_head=8,,miniworld,bfloat16,,eval|train,MiniWorld shared.d_single=384 d_pair=128,1,1
augmented_attention,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_single=128;d_cond=128;d_pair=16;n_head=4,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,bfloat16|float32,eval|train,MiniWorld atom_dit d_single_atom=128 d_pair_atom=16 n_head=4,5,48
augmented_attention,token_single,128|256|384|512|640|768,d_single=768;d_cond=384;d_pair=128;n_head=16,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,bfloat16|float32,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
conditioned_transition,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_hidden=128;d_cond=128,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld atom_dit d_single=d_cond=d_single_atom=128,5,48
conditioned_transition,token_single,128|256|384|512|640|768,d_hidden=768;d_cond=384,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
msa_pair_weighted_averaging,msa_token,128|256|384|512|640|768,d_msa=64;d_pair=128;n_head=8,p_drop=0.25|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16,,eval|train,MiniWorld msa_module d_msa=64 d_pair=128,1,1
outer_product_mean,msa_token,128|256|384|512|640|768,d_msa=64;d_pair=128;d_hidden=32,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16,,eval|train,MiniWorld d_msa=64 d_hidden_msa=32,1,1
pairformer_block,token_pair,128|256|384|512|640|768,d_pair=128;d_hidden_tri_multi=128;d_hidden_tri_attention=32,p_drop=0.25|trimul_impl=triton|trimul_impl=cute|trimul_cute_dispatch=False|trimul_train_front_fused=False|trimul_out_layout=bdll_direct|trimul_out_layout=bdll_direct_wide|gate_backend=fused|gate_backend=split|infer_concat=True|infer_concat=False|ln_out_bwd_path=split|ln_out_bwd_path=fused|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True|transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False,miniworld,bfloat16,,eval|train,MiniWorld pairformer block as configured,1,1
swa_atom_attention,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_model=128;n_heads=4,,miniworld,bfloat16,,eval|train,MiniWorld atom_swa d_single_atom=128 n_head=4,5,48
transition,token_pair,128|256|384|512|640|768,d_hidden=128,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld|triton,bfloat16,,eval|train,MiniWorld shared.d_pair=128,1,1
transition,token_pair,128|256|384|512|640|768,d_hidden=256,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld|triton,bfloat16,,eval|train,Protenix-v2/ESMFold2 trunk n=4,1,1
transition,token_pair,128|256|384|512|640|768,d_hidden=384,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld|triton,bfloat16,,eval|train,OpenDDE trunk n=4,1,1
transition,token_single,128|256|384|512|640|768,d_hidden=384,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld|triton,bfloat16,,eval|train,pairformer use_single at shared.d_single=384,1,1
triangle_attention_bidirectional,token_pair,128|256|384|512|640|768,d_pair=128,gate_backend=fused|gate_backend=split|infer_concat=True|infer_concat=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld|triton,bfloat16,,eval|train,MiniWorld d_pair=128,1,1
